keyword,category
naknada,Bank Fees
provizija,Bank Fees
naknada za uslugu,Bank Fees
naknada za karticu,Bank Fees
obrada,Bank Fees
pretplata,Subscriptions
netflix,Subscriptions
spotify,Subscriptions
adobe,Subscriptions
google,Subscriptions
microsoft,Subscriptions
konzum,Groceries
bingo,Groceries
mercator,Groceries
interspar,Groceries
tommy,Groceries
supermarket,Groceries
pekara,Groceries
gorivo,Transport
parking,Transport
taxi,Transport
uber,Transport
restaurant,Dining
kafic,Dining
pizzeria,Dining
